x,ytrue,ynoisy,mean,sd,cover2s_noisy,cover2s_true
0.616000,0.203352,0.040077,0.097942,0.169735,1,1
0.632000,0.139269,0.165497,0.050510,0.169680,1,1
0.648000,0.074662,0.026176,0.002853,0.169628,1,1
0.664000,0.009877,-0.191483,-0.044818,0.169577,1,1
0.680000,-0.054737,0.159579,-0.092291,0.169530,1,1
0.696000,-0.118830,-0.093764,-0.139356,0.169485,1,1
0.712000,-0.182060,-0.042618,-0.185804,0.169443,1,1
0.728000,-0.244086,-0.308320,-0.231426,0.169406,1,1
0.744000,-0.304576,-0.339062,-0.276019,0.169372,1,1
0.760000,-0.363206,-0.331859,-0.319381,0.169343,1,1
0.776000,-0.419664,-0.265131,-0.361314,0.169319,1,1
0.792000,-0.473650,-0.318085,-0.401629,0.169300,1,1
0.808000,-0.524878,-0.547944,-0.440138,0.169287,1,1
0.824000,-0.573080,-0.493255,-0.476663,0.169280,1,1
0.840000,-0.618003,-0.582938,-0.511035,0.169278,1,1
0.856000,-0.659414,-0.723216,-0.543089,0.169283,1,1
0.872000,-0.697101,-0.524729,-0.572675,0.169293,1,1
0.888000,-0.730874,-0.762470,-0.599650,0.169308,1,1
0.904000,-0.760563,-0.763782,-0.623884,0.169328,1,1
0.920000,-0.786025,-0.783877,-0.645259,0.169352,1,1
0.936000,-0.807138,-0.736003,-0.663669,0.169379,1,1
0.952000,-0.823808,-0.753146,-0.679024,0.169409,1,1
0.968000,-0.835966,-1.139116,-0.691248,0.169441,0,1
0.984000,-0.843567,-1.083018,-0.700279,0.169475,0,1
1.000000,-0.846594,-0.877326,-0.706072,0.169509,1,1
1.016000,-0.845056,-0.830684,-0.708599,0.169544,1,1
1.032000,-0.838988,-0.834413,-0.707849,0.169579,1,1
1.048000,-0.828452,-0.944781,-0.703829,0.169615,1,1
1.064000,-0.813532,-0.778146,-0.696561,0.169651,1,1
1.080000,-0.794342,-0.751382,-0.686089,0.169687,1,1
1.096000,-0.771016,-0.693498,-0.672472,0.169724,1,1
1.112000,-0.743714,-0.708865,-0.655788,0.169763,1,1
1.128000,-0.712618,-0.970197,-0.636132,0.169802,1,1
1.144000,-0.677930,-0.708944,-0.613617,0.169843,1,1
1.160000,-0.639875,-0.683034,-0.588373,0.169886,1,1
1.176000,-0.598693,-0.446116,-0.560545,0.169930,1,1
1.192000,-0.554645,-0.647143,-0.530294,0.169975,1,1
1.208000,-0.508006,-0.464963,-0.497797,0.170021,1,1
1.224000,-0.459064,-0.253941,-0.463242,0.170067,1,1
1.240000,-0.408123,-0.398924,-0.426832,0.170113,1,1
1.256000,-0.355495,-0.317670,-0.388779,0.170157,1,1
1.272000,-0.301501,-0.061915,-0.349305,0.170199,1,1
1.288000,-0.246469,-0.226968,-0.308641,0.170239,1,1
1.304000,-0.190732,-0.057484,-0.267026,0.170276,1,1
1.320000,-0.134627,-0.228512,-0.224702,0.170311,1,1
1.336000,-0.078490,0.021925,-0.181915,0.170343,1,1
1.352000,-0.022658,-0.014367,-0.138913,0.170373,1,1
1.368000,0.032536,0.020035,-0.095944,0.170404,1,1
1.384000,0.086766,0.289285,-0.053256,0.170437,0,1
1.400000,0.139709,0.247333,-0.011090,0.170475,1,1
1.416000,0.191053,0.260274,0.030315,0.170520,1,1
1.432000,0.240498,0.276364,0.070729,0.170575,1,1
1.448000,0.287753,0.493914,0.109927,0.170642,0,1
1.464000,0.332545,0.534995,0.147699,0.170723,0,1
1.480000,0.374614,0.393744,0.183842,0.170820,1,1
1.496000,0.413719,0.399338,0.218169,0.170933,1,1
1.512000,0.449636,0.410460,0.250504,0.171062,1,1
1.528000,0.482163,0.572774,0.280689,0.171204,1,1
1.544000,0.511118,0.610799,0.308580,0.171355,1,1
1.560000,0.536342,0.568259,0.334053,0.171510,1,1
1.576000,0.557698,0.576203,0.356998,0.171662,1,1
1.592000,0.575074,0.666719,0.377326,0.171804,1,1
1.608000,0.588383,0.603512,0.394966,0.171927,1,1
1.624000,0.597563,0.542737,0.409865,0.172023,1,1
1.640000,0.602577,0.509366,0.421991,0.172084,1,1
1.656000,0.603413,0.511615,0.431330,0.172107,1,1
1.672000,0.600086,0.450820,0.437885,0.172090,1,1
1.688000,0.592637,0.566284,0.441681,0.172035,1,1
1.704000,0.581132,0.667692,0.442757,0.171953,1,1
1.720000,0.565661,0.397327,0.441172,0.171862,1,1
1.736000,0.546338,0.545759,0.437000,0.171789,1,1
1.752000,0.523304,0.678854,0.430330,0.171774,1,1
1.768000,0.496720,0.498932,0.421267,0.171867,1,1
1.784000,0.466769,0.395972,0.409927,0.172134,1,1
1.800000,0.433656,0.291954,0.396439,0.172653,1,1
1.816000,0.397605,0.438426,0.380944,0.173518,1,1
1.832000,0.358858,0.379165,0.363590,0.174833,1,1
1.848000,0.317673,0.144302,0.344534,0.176710,1,1
1.864000,0.274325,0.286139,0.323941,0.179268,1,1
1.880000,0.229101,0.307225,0.301978,0.182624,1,1
1.896000,0.182301,0.184487,0.278818,0.186889,1,1
1.912000,0.134234,0.124192,0.254635,0.192158,1,1
1.928000,0.085216,-0.127339,0.229606,0.198511,1,1
1.944000,0.035573,0.034340,0.203904,0.206002,1,1
1.960000,-0.014368,-0.156764,0.177702,0.214661,1,1
1.976000,-0.064277,-0.102607,0.151171,0.224494,1,1
1.992000,-0.113824,-0.128204,0.124475,0.235481,1,1
