problem,variant,run,best_f
rastrigin,clerc_von_neumann,38,16.9143
sphere,clerc_global,39,9.89329e-18
rastrigin,clerc_global,39,14.9244
rastrigin,clerc_ring,39,17.0131
rastrigin,clerc_von_neumann,39,8.97221
sphere,clerc_global,40,1.64568e-17
rastrigin,clerc_global,40,5.96975
rastrigin,clerc_ring,40,12.6216
rastrigin,clerc_von_neumann,40,14.9298
sphere,clerc_global,41,4.74051e-17
rastrigin,clerc_global,41,9.94959
rastrigin,clerc_ring,41,9.54141
rastrigin,clerc_von_neumann,41,12.2161
sphere,clerc_global,42,2.56632e-17
rastrigin,clerc_global,42,4.9748
rastrigin,clerc_ring,42,14.9245
rastrigin,clerc_von_neumann,42,14.5502
sphere,clerc_global,43,1.53353e-17
rastrigin,clerc_global,43,3.98033
rastrigin,clerc_ring,43,12.7645
rastrigin,clerc_von_neumann,43,7.96115
sphere,clerc_global,44,6.48671e-17
rastrigin,clerc_global,44,20.8941
rastrigin,clerc_ring,44,16.8299
rastrigin,clerc_von_neumann,44,7.95967
sphere,clerc_global,45,2.42805e-17
rastrigin,clerc_global,45,7.95967
rastrigin,clerc_ring,45,14.1654
rastrigin,clerc_von_neumann,45,17.9092
sphere,clerc_global,46,1.30933e-17
rastrigin,clerc_global,46,17.9092
rastrigin,clerc_ring,46,10.9462
rastrigin,clerc_von_neumann,46,7.96734
sphere,clerc_global,47,5.25035e-17
rastrigin,clerc_global,47,17.9092
rastrigin,clerc_ring,47,5.40313
rastrigin,clerc_von_neumann,47,6.16845
sphere,clerc_global,48,2.42547e-16
rastrigin,clerc_global,48,14.9245
rastrigin,clerc_ring,48,14.2417
rastrigin,clerc_von_neumann,48,9.95044
sphere,clerc_global,49,6.53555e-17
rastrigin,clerc_global,49,9.94959
rastrigin,clerc_ring,49,5.98486
rastrigin,clerc_von_neumann,49,7.96038
