seed,algo,gen,igd
0,moead,223,0.0108994
0,moead,224,0.010795
0,moead,225,0.0107792
0,moead,226,0.0107178
0,moead,227,0.0105669
0,moead,228,0.0105406
0,moead,229,0.0105094
0,moead,230,0.0104039
0,moead,231,0.0103761
0,moead,232,0.0103462
0,moead,233,0.0103657
0,moead,234,0.0101711
0,moead,235,0.0101615
0,moead,236,0.0101153
0,moead,237,0.010033
0,moead,238,0.00999035
0,moead,239,0.00997326
0,moead,240,0.00982352
0,moead,241,0.00973574
0,moead,242,0.0096807
0,moead,243,0.00966519
0,moead,244,0.0096207
0,moead,245,0.00958787
0,moead,246,0.00949251
0,moead,247,0.00951898
0,moead,248,0.00950532
0,moead,249,0.00947779
0,moead,250,0.00941727
0,moead,251,0.00936175
0,moead,252,0.00943161
0,moead,253,0.0093623
0,moead,254,0.00934369
0,moead,255,0.0092613
0,moead,256,0.00921623
0,moead,257,0.00915053
0,moead,258,0.00909993
0,moead,259,0.00909207
0,moead,260,0.00902482
0,moead,261,0.00899533
0,moead,262,0.00898736
0,moead,263,0.00895876
0,moead,264,0.00893184
0,moead,265,0.0089151
0,moead,266,0.00889653
0,moead,267,0.00887413
0,moead,268,0.0088572
0,moead,269,0.00926333
0,moead,270,0.00923259
0,moead,271,0.00927733
0,moead,272,0.00897445
0,moead,273,0.00893998
0,moead,274,0.00887947
0,moead,275,0.00866319
0,moead,276,0.00866048
0,moead,277,0.00857264
0,moead,278,0.00854359
0,moead,279,0.00850884
0,moead,280,0.00850618
0,moead,281,0.00849743
0,moead,282,0.00846043
0,moead,283,0.00846001
0,moead,284,0.00845538
0,moead,285,0.00844269
0,moead,286,0.00839006
0,moead,287,0.00836233
0,moead,288,0.00834751
0,moead,289,0.00834023
0,moead,290,0.00832838
0,moead,291,0.00830741
0,moead,292,0.0082969
0,moead,293,0.0082961
0,moead,294,0.00827607
0,moead,295,0.00827272
0,moead,296,0.00826668
0,moead,297,0.00826436
0,moead,298,0.00823512
0,moead,299,0.00820951
0,moead,300,0.00820054
0,nsga2,0,2.04211
0,nsga2,1,2.03342
0,nsga2,2,2.03342
0,nsga2,3,1.78551
0,nsga2,4,1.60648
0,nsga2,5,1.60648
0,nsga2,6,1.60648
0,nsga2,7,1.60648
0,nsga2,8,1.60622
0,nsga2,9,1.5884
0,nsga2,10,1.5884
