method,mean,sd,skew,kurt,ks_d,ks_crit,n
box_muller,0.005540,0.999290,-0.016533,-0.004350,0.005546,0.006791,40000
marsaglia_polar,0.008980,1.008811,0.005284,-0.016892,0.006392,0.006791,40000
