run,step,t,h,err_est,err_true
5,16,4.8722997,0.12770035,6.5221701e-08,6.2009133e-09
6,0,0,0.05,5.182681e-10,1.8800961e-11
6,1,0.05,0.1,1.7020656e-08,1.2588792e-09
6,2,0.15,0.2,5.7163697e-07,8.6773516e-08
6,3,0.35,0.36093469,1.1966804e-05,3.2829774e-06
6,4,0.71093469,0.34193974,1.0156187e-05,2.4365153e-06
6,5,1.0528744,0.33769405,9.2919619e-06,2.049936e-06
6,6,1.3905685,0.35782435,1.073526e-05,2.2835751e-06
6,7,1.7483928,0.38076033,1.3998354e-05,4.2669928e-06
6,8,2.1291532,0.36085919,1.2933691e-05,3.3816816e-06
6,9,2.4900123,0.32999575,8.4789603e-06,1.8842215e-06
6,10,2.8200081,0.3493982,1.0290126e-05,2.2270604e-06
6,11,3.1694063,0.37069304,1.0867257e-05,3.3466015e-06
6,12,3.5400993,0.3370049,8.7116925e-06,2.1974712e-06
6,13,3.8771042,0.33668994,9.4185448e-06,2.2143904e-06
6,14,4.2137942,0.33881647,9.4011089e-06,2.0711325e-06
6,15,4.5526107,0.35905488,1.0777283e-05,2.3785269e-06
6,16,4.9116655,0.088334474,1.0148258e-08,6.5249006e-10
7,0,0,0.05,3.7163728e-10,1.3465229e-11
7,1,0.05,0.1,1.2189504e-08,8.9951757e-10
7,2,0.15,0.2,4.0840751e-07,6.1746857e-08
7,3,0.35,0.37361371,1.0097226e-05,2.8561718e-06
7,4,0.72361371,0.35666126,8.8377554e-06,2.1926587e-06
7,5,1.080275,0.35634059,8.4403764e-06,1.930932e-06
7,6,1.4366156,0.37463932,9.0742941e-06,2.26387e-06
7,7,1.8112549,0.39825213,1.303367e-05,4.0681054e-06
7,8,2.209507,0.36751809,1.0173986e-05,2.6479067e-06
7,9,2.5770251,0.35300904,8.2071559e-06,1.8951541e-06
7,10,2.9300341,0.37043401,9.036024e-06,1.9678259e-06
7,11,3.3004682,0.39249481,1.1470342e-05,3.6103834e-06
7,12,3.692963,0.37585324,1.1181334e-05,3.034856e-06
7,13,4.0688162,0.34965866,7.9360877e-06,1.8492689e-06
7,14,4.4184749,0.36611886,8.9296087e-06,1.9796111e-06
7,15,4.7845937,0.21540628,5.5775609e-07,9.2552631e-08
8,0,0,0.05,6.3162653e-10,2.2966962e-11
8,1,0.05,0.1,2.0794633e-08,1.5447017e-09
8,2,0.15,0.2,7.0158539e-07,1.0731506e-07
8,3,0.35,0.35740694,1.4116308e-05,3.8755787e-06
8,4,0.70740694,0.33712464,1.1931035e-05,2.8503974e-06
8,5,1.0445316,0.32461732,9.7777338e-06,2.104449e-06
8,6,1.3691489,0.34624696,1.1996071e-05,2.5200654e-06
8,7,1.7153959,0.36895944,1.4276352e-05,4.3049051e-06
8,8,2.0843553,0.31863023,8.5923638e-06,2.014579e-06
8,9,2.4029855,0.31840538,9.0514421e-06,1.9949749e-06
8,10,2.7213909,0.33181645,1.0630129e-05,2.2804653e-06
8,11,3.0532074,0.35352842,1.2403658e-05,2.8127924e-06
8,12,3.4067358,0.37758799,1.7562733e-05,5.2382028e-06
8,13,3.7843238,0.34705636,1.3633172e-05,3.3979756e-06
8,14,4.1313801,0.32089235,9.3136503e-06,2.0054906e-06
8,15,4.4522725,0.34246767,1.1701379e-05,2.4778687e-06
8,16,4.7947402,0.20525984,7.5475805e-07,1.2022465e-07
9,0,0,0.05,3.0802672e-10,1.0655032e-11
9,1,0.05,0.1,9.6214953e-09,6.4689376e-10
9,2,0.15,0.2,2.92186e-07,4.2808207e-08
9,3,0.35,0.4,9.840656e-06,3.2205e-06
9,4,0.75,0.39193513,1.109552e-05,3.1772307e-06
9,5,1.1419351,0.36023699,7.5499859e-06,1.8213076e-06
9,6,1.5021721,0.37431445,8.2344811e-06,1.8714062e-06
9,7,1.8764866,0.39401288,8.7925594e-06,2.8720944e-06
9,8,2.2704994,0.39673705,1.1592563e-05,3.4031533e-06
9,9,2.6672365,0.3590456,7.454392e-06,1.8107895e-06
9,10,3.0262821,0.37218413,8.1770191e-06,1.8759971e-06
9,11,3.3984662,0.39112006,8.1360957e-06,2.6690099e-06
9,12,3.7895863,0.40237938,1.2184474e-05,3.678108e-06
9,13,4.1919657,0.36344618,7.9392455e-06,1.9709398e-06
9,14,4.5554119,0.37030327,8.1099024e-06,1.8749296e-06
9,15,4.9257151,0.074284874,2.1221426e-09,1.1576984e-10
10,0,0,0.05,4.5355919e-10,1.6399992e-11
10,1,0.05,0.1,1.4844443e-08,1.0912364e-09
10,2,0.15,0.2,4.9535212e-07,7.4378719e-08
10,3,0.35,0.36161637,1.0334743e-05,2.7939754e-06
10,4,0.71161637,0.34380165,8.685623e-06,2.0649653e-06
10,5,1.055418,0.34976979,9.0056062e-06,2.0161246e-06
10,6,1.4051878,0.36923037,9.835982e-06,2.472386e-06
10,7,1.7744182,0.39334322,1.4533223e-05,4.4647758e-06
10,8,2.1677614,0.35873363,1.0639106e-05,2.7013398e-06
10,9,2.526495,0.34463196,8.5875399e-06,1.9423089e-06
10,10,2.871127,0.36322401,9.7282205e-06,2.0944158e-06
10,11,3.234351,0.38542493,1.2174095e-05,3.7796884e-06
10,12,3.6197759,0.37047797,1.2184473e-05,3.2800535e-06
10,13,3.9902539,0.33937504,8.0905897e-06,1.8465203e-06
10,14,4.3296289,0.35699553,9.4728367e-06,2.0833569e-06
10,15,4.6866245,0.31337553,3.9849018e-06,1.0147693e-06
11,0,0,0.05,3.7788528e-10,1.3068879e-11
11,1,0.05,0.1,1.1801167e-08,7.931088e-10
11,2,0.15,0.2,3.5821894e-07,5.2860016e-08
11,3,0.35,0.39983992,1.2126914e-05,3.9614601e-06
11,4,0.74983992,0.38119753,1.1904512e-05,3.3100434e-06
11,5,1.1310375,0.34799451,7.813256e-06,1.827148e-06
11,6,1.479032,0.36398327,8.8717016e-06,1.9805064e-06
11,7,1.8430152,0.38413857,9.2977258e-06,2.9803895e-06
11,8,2.2271538,0.35051011,7.5966027e-06,1.9781712e-06
11,9,2.5776639,0.35024969,8.1147652e-06,1.9603676e-06
11,10,2.9279136,0.35788394,8.5599407e-06,1.9479096e-06
11,11,3.2857975,0.37660059,9.085745e-06,2.4194187e-06
11,12,3.6623981,0.4010864,1.3877362e-05,4.3158263e-06
11,13,4.0634845,0.36342851,9.711098e-06,2.4766096e-06
11,14,4.426913,0.3545284,8.3406448e-06,1.9160186e-06
11,15,4.7814414,0.21855856,6.0213908e-07,8.3912246e-08
12,0,0,0.05,6.2636263e-10,2.2532198e-11
12,1,0.05,0.1,2.038964e-08,1.484366e-09
12,2,0.15,0.2,6.7345659e-07,9.93423e-08
12,3,0.35,0.33859474,9.9161207e-06,2.4365492e-06
12,4,0.68859474,0.32467551,8.286728e-06,1.8263917e-06
12,5,1.0132703,0.34495651,1.0378942e-05,2.2466308e-06
12,6,1.3582268,0.36614558,1.1252145e-05,3.1826503e-06
12,7,1.7243723,0.33988787,9.3841416e-06,2.4155714e-06
12,8,2.0642602,0.33949852,1.0329679e-05,2.4718736e-06
12,9,2.4037587,0.3338682,9.3265426e-06,2.0475253e-06
12,10,2.7376269,0.35428097,1.0981377e-05,2.3227365e-06
12,11,3.0919079,0.3769465,1.3730415e-05,4.17986e-06
12,12,3.4688544,0.32526686,8.0673921e-06,1.9112841e-06
12,13,3.7941213,0.32195662,7.9627661e-06,1.7533142e-06
12,14,4.1160779,0.3425844,1.0179257e-05,2.2122973e-06
12,15,4.4586623,0.36354105,1.1243445e-05,2.9562887e-06
12,16,4.8222033,0.17779667,3.6833562e-07,4.8324395e-08
13,0,0,0.05,6.4848105e-10,2.3548719e-11
13,1,0.05,0.1,2.1324104e-08,1.5910722e-09
13,2,0.15,0.2,7.2281521e-07,1.1141647e-07
13,3,0.35,0.36035864,1.5283881e-05,4.2811569e-06
13,4,0.71035864,0.33975787,1.3138885e-05,3.1893733e-06
13,5,1.0501165,0.31944401,9.682684e-06,2.0689558e-06
13,6,1.3695605,0.34156643,1.2216121e-05,2.5695297e-06
13,7,1.711127,0.36412314,1.3663452e-05,4.1235732e-06
13,8,2.0752501,0.32200703,9.4682577e-06,2.2685754e-06
13,9,2.3972571,0.32171618,1.0147125e-05,2.2804445e-06
13,10,2.7189733,0.32637873,1.0566069e-05,2.2560359e-06
13,11,3.045352,0.34845613,1.2724628e-05,2.6333782e-06
13,12,3.3938082,0.37196132,1.6698949e-05,4.9800125e-06
13,13,3.7657695,0.31400308,8.6958475e-06,1.9821006e-06
13,14,4.0797726,0.31020487,8.4568876e-06,1.7960018e-06
13,15,4.3899774,0.3334225,1.1402053e-05,2.4249644e-06
13,16,4.7233999,0.27660006,3.6154563e-06,7.121201e-07
14,0,0,0.05,6.0506367e-10,2.1145086e-11
14,1,0.05,0.1,1.9104732e-08,1.3127059e-09
14,2,0.15,0.2,5.9366408e-07,7.7890949e-08
14,3,0.35,0.36883032,1.1680698e-05,2.8229601e-06
14,4,0.71883032,0.38625362,1.5347817e-05,4.6538719e-06
14,5,1.1050839,0.35417456,1.1646923e-05,2.9391311e-06
14,6,1.4592585,0.33533428,8.8395916e-06,1.9648588e-06
14,7,1.7945928,0.35488153,1.0410625e-05,2.231849e-06
14,8,2.1494743,0.37687271,1.2243056e-05,3.769942e-06
14,9,2.526347,0.32923255,7.7942313e-06,1.8835109e-06
14,10,2.8555796,0.32903084,8.1758443e-06,1.8500781e-06
14,11,3.1846104,0.34423183,9.6811556e-06,2.1265347e-06
14,12,3.5288423,0.36466565,1.0710712e-05,2.7191211e-06
14,13,3.8935079,0.38924932,1.6276794e-05,4.9311558e-06
14,14,4.2827572,0.35064395,1.1141924e-05,2.7627138e-06
14,15,4.6334012,0.33717587,9.0270061e-06,2.0024141e-06
14,16,4.9705771,0.029422949,3.6409986e-11,7.4806827e-13
15,0,0,0.05,6.4098282e-10,2.2432056e-11
15,1,0.05,0.1,2.0269111e-08,1.3968284e-09
15,2,0.15,0.2,6.3181482e-07,8.3438792e-08
15,3,0.35,0.36418296,1.1740911e-05,2.6251238e-06
15,4,0.71418296,0.38188114,1.4666668e-05,4.4499147e-06
15,5,1.0960641,0.35739481,1.2571402e-05,3.2355128e-06
15,6,1.4534589,0.33077735,8.6650243e-06,1.9203152e-06
15,7,1.7842363,0.35041864,1.045277e-05,2.2517506e-06
15,8,2.1346549,0.37198748,1.1382604e-05,3.5186111e-06
15,9,2.5066424,0.33353642,8.4778436e-06,2.1029544e-06
15,10,2.8401788,0.3332589,9.0761017e-06,2.1026227e-06
15,11,3.1734377,0.33949353,9.5647383e-06,2.1010749e-06
15,12,3.5129312,0.35990529,1.0890424e-05,2.4924305e-06
15,13,3.8728365,0.38351198,1.5157074e-05,4.5973359e-06
15,14,4.2563485,0.3555195,1.2296398e-05,3.1353651e-06
15,15,4.611868,0.33175672,8.7728405e-06,1.9427733e-06
15,16,4.9436247,0.056375282,1.0371781e-09,4.0454751e-11
16,0,0,0.05,6.3874384e-10,2.3000046e-11
16,1,0.05,0.1,2.0813983e-08,1.5180706e-09
16,2,0.15,0.2,6.8881737e-07,1.0195679e-07
16,3,0.35,0.33974597,1.0359072e-05,2.5676465e-06
16,4,0.68974597,0.32145345,8.1674047e-06,1.7914657e-06
16,5,1.0111994,0.34206208,1.0402669e-05,2.2511545e-06
16,6,1.3532615,0.36323598,1.1473636e-05,3.0683366e-06
16,7,1.7164975,0.34207147,9.8512367e-06,2.5730529e-06
16,8,2.058569,0.34162805,1.0979163e-05,2.6602702e-06
16,9,2.400197,0.33067715,9.2484108e-06,2.0250096e-06
16,10,2.7308741,0.35123341,1.107834e-05,2.3508524e-06
16,11,3.0821076,0.37360593,1.3208078e-05,4.025303e-06
16,12,3.4557135,0.32369055,8.0506799e-06,1.9124767e-06
16,13,3.779404,0.32348571,8.4445525e-06,1.8824875e-06
16,14,4.1028897,0.33891499,1.0109344e-05,2.1969488e-06
16,15,4.4418047,0.35989488,1.1424727e-05,2.7805223e-06
16,16,4.8016996,0.19830039,6.4042564e-07,9.4753116e-08
17,0,0,0.05,6.7807893e-10,2.337841e-11
17,1,0.05,0.1,2.1106729e-08,1.475376e-09
17,2,0.15,0.2,6.7051543e-07,1.0467316e-07
