problem,step,t,h,err_est
robertson,14,0.024410792,0.0021015416,7.8913352e-07
robertson,15,0.026512334,0.0019845832,9.4284385e-07
robertson,16,0.028496917,0.0013820352,3.4758003e-07
robertson,17,0.029878952,0.0015377231,3.4568403e-07
robertson,18,0.031416675,0.001126339,2.3159452e-07
robertson,19,0.032543014,0.0013592488,3.2288132e-07
robertson,20,0.033902263,0.001534807,1.7295585e-07
robertson,21,0.03543707,0.0019634736,2.7976632e-07
robertson,22,0.037400544,0.0019974984,6.3715908e-07
robertson,23,0.039398042,0.00196877,4.5387241e-07
robertson,24,0.041366812,0.0018589667,6.6524225e-07
robertson,25,0.043225779,0.001816496,1.7824457e-07
robertson,26,0.045042275,0.0023098733,1.0014034e-06
robertson,27,0.047352148,0.0020798261,7.6702919e-07
robertson,28,0.049431974,0.00070686958,5.3208466e-08
robertson,29,0.050138844,0.0011447922,1.4205948e-07
robertson,30,0.051283636,0.0015233319,5.6619492e-08
robertson,31,0.052806968,0.0024364511,4.3789609e-07
robertson,32,0.055243419,0.0020685748,8.796053e-07
robertson,33,0.057311994,0.0019114856,2.3069069e-07
robertson,34,0.059223479,0.0019794418,4.9222714e-07
robertson,35,0.061202921,0.001842631,6.7352914e-07
robertson,36,0.063045552,0.0017960767,2.6344723e-07
robertson,37,0.064841629,0.0021122349,7.3796063e-07
robertson,38,0.066953864,0.0020215951,9.9468086e-07
robertson,39,0.068975459,0.0014375614,3.599319e-07
robertson,40,0.07041302,0.001588364,8.0604712e-08
robertson,41,0.072001384,0.00070255755,6.195635e-08
robertson,42,0.072703942,0.001103708,1.4714716e-07
robertson,43,0.07380765,0.0014583646,8.1596526e-08
robertson,44,0.075266014,0.0021681391,2.8505428e-07
robertson,45,0.077434154,0.0020573715,6.8845805e-07
robertson,46,0.079491525,0.0019966078,5.4164313e-07
robertson,47,0.081488133,0.0018267665,6.8573331e-07
robertson,48,0.083314899,0.0017742254,3.6150263e-07
robertson,49,0.085089125,0.0019585821,4.5083096e-07
robertson,50,0.087047707,0.0018582281,6.6130717e-07
robertson,51,0.088905935,0.0018179183,1.729603e-07
robertson,52,0.090723853,0.0020890453,5.2390469e-07
robertson,53,0.092812898,0.001871989,7.2047793e-07
robertson,54,0.094684887,0.0018002591,3.5241298e-07
robertson,55,0.096485146,0.0019974646,5.480437e-07
robertson,56,0.098482611,0.001517389,3.0065464e-07
