t,E_rk4,E_euler
0.0000,0.5,0.5
2.0000,0.5,0.52040122
4.0000,0.5,0.54163487
6.0000,0.5,0.5637349
8.0000,0.5,0.58673666
10.0000,0.5,0.61067696
12.0000,0.5,0.63559407
14.0000,0.5,0.66152787
16.0000,0.5,0.68851983
18.0000,0.5,0.71661312
20.0000,0.5,0.74585269
22.0000,0.5,0.77628531
24.0000,0.5,0.80795965
26.0000,0.5,0.84092639
28.0000,0.5,0.87523824
30.0000,0.5,0.91095011
32.0000,0.5,0.9481191
34.0000,0.5,0.98680469
36.0000,0.5,1.0270687
38.0000,0.5,1.0689757
40.0000,0.5,1.1125925
