algo,func,dim,ckpt_evals,n_runs,mean_best_f,median_best_f,mean_evals_actual
DE,sphere,5,800,60,0.00221454,0.00204708,800.0
DE,sphere,5,900,60,0.000874616,0.000525319,900.0
DE,rosenbrock,5,100,60,78.0577,68.9819,100.0
DE,rosenbrock,5,200,60,32.5914,27.094,200.0
DE,rosenbrock,5,300,60,18.0728,14.0577,300.0
DE,rosenbrock,5,400,60,8.97486,7.76345,400.0
DE,rosenbrock,5,500,60,6.44278,5.49043,500.0
DE,rosenbrock,5,600,60,4.82689,4.50955,600.0
DE,rosenbrock,5,700,60,3.88351,3.47731,700.0
DE,rosenbrock,5,800,60,3.1936,3.09519,800.0
DE,rosenbrock,5,900,60,2.75273,2.77673,900.0
DE,rastrigin,5,100,60,37.1491,38.2861,100.0
DE,rastrigin,5,200,60,27.5146,27.8389,200.0
DE,rastrigin,5,300,60,22.0369,21.5406,300.0
DE,rastrigin,5,400,60,18.6969,19.6224,400.0
DE,rastrigin,5,500,60,16.7031,17.3104,500.0
DE,rastrigin,5,600,60,15.1294,14.9112,600.0
DE,rastrigin,5,700,60,13.6061,12.9691,700.0
DE,rastrigin,5,800,60,12.3413,12.429,800.0
DE,rastrigin,5,900,60,11.4478,11.7289,900.0
DE,griewank,5,100,60,0.348598,0.349032,100.0
DE,griewank,5,200,60,0.254961,0.251584,200.0
DE,griewank,5,300,60,0.208807,0.206771,300.0
DE,griewank,5,400,60,0.181153,0.178536,400.0
DE,griewank,5,500,60,0.16554,0.162418,500.0
DE,griewank,5,600,60,0.151918,0.153178,600.0
DE,griewank,5,700,60,0.140542,0.139257,700.0
DE,griewank,5,800,60,0.134278,0.133934,800.0
DE,griewank,5,900,60,0.124047,0.12268,900.0
DE,ackley,5,100,60,5.34064,5.54708,100.0
DE,ackley,5,200,60,3.80159,3.73799,200.0
DE,ackley,5,300,60,2.82378,2.7269,300.0
DE,ackley,5,400,60,2.06674,2.11842,400.0
DE,ackley,5,500,60,1.37112,1.28458,500.0
DE,ackley,5,600,60,0.719143,0.658626,600.0
DE,ackley,5,700,60,0.386654,0.33339,700.0
DE,ackley,5,800,60,0.201993,0.175176,800.0
DE,ackley,5,900,60,0.0908224,0.080642,900.0
PSO,sphere,5,100,60,0.322798,0.315642,100.0
PSO,sphere,5,200,60,0.049814,0.0449944,200.0
PSO,sphere,5,300,60,0.00697487,0.00559814,300.0
PSO,sphere,5,400,60,0.00132924,0.000962474,400.0
PSO,sphere,5,500,60,0.00029873,0.000177123,497.3
PSO,sphere,5,600,60,8.9428e-05,7.21723e-05,562.7
PSO,sphere,5,700,60,6.69322e-05,7.02273e-05,596.3
PSO,sphere,5,800,60,6.72899e-05,7.1292e-05,625.0
PSO,sphere,5,900,60,6.22779e-05,6.64138e-05,641.7
PSO,rosenbrock,5,100,60,9.3803,8.39982,100.0
PSO,rosenbrock,5,200,60,4.24584,4.48683,200.0
PSO,rosenbrock,5,300,60,3.24015,3.17375,300.0
PSO,rosenbrock,5,400,60,2.91848,3.04445,400.0
PSO,rosenbrock,5,500,60,2.54755,2.46569,500.0
PSO,rosenbrock,5,600,60,2.29354,2.16024,600.0
PSO,rosenbrock,5,700,60,2.09706,1.84899,699.3
PSO,rosenbrock,5,800,60,1.97069,1.65344,800.0
PSO,rosenbrock,5,900,60,1.6982,1.53536,900.0
