func,F,CR,n_run,success_rate,mean_best_f
ackley,0.70,0.80,30,0.000,0.592928
ackley,0.70,0.95,30,0.000,0.751487
ackley,0.90,0.20,30,0.000,1.22161
ackley,0.90,0.40,30,0.000,1.40332
ackley,0.90,0.60,30,0.000,1.56971
ackley,0.90,0.80,30,0.000,2.06327
ackley,0.90,0.95,30,0.000,2.49982
ackley,1.10,0.20,30,0.000,1.93144
ackley,1.10,0.40,30,0.000,2.15282
ackley,1.10,0.60,30,0.000,2.70101
ackley,1.10,0.80,30,0.000,3.07576
ackley,1.10,0.95,30,0.000,3.7003
