opt,max_traj_diff_c1_vs_c100
adagrad,0.000000
sgd,515640528406630445548710635148034838483275900596331604217934621760752371565233934381575156551809460328921207488519337032144160356523337113153466304762594685695706133383701038485192914128428545702782701879374643200.000000
