name,true,hat,post_mean,post_sd,cri_lo,cri_hi,hat_err,hat_err_over_sd
alpha,1,0.99668043,0.99858324,0.0083350004,0.98229048,1.0148044,-0.0033195661,0.3983
beta,0.08,0.079478082,0.079740443,0.00096457328,0.077665132,0.081510084,-0.00052191786,0.5411
gamma,0.6,0.59845827,0.59705429,0.005451361,0.58709432,0.60780055,-0.0015417305,0.2828
delta,0.04,0.040182125,0.040132629,0.00036842854,0.039406255,0.040890421,0.00018212456,0.4943
# nll_hat,30.97611
# rhat,1.127491
# accept_rate,0.2216
# step_scaled,0.005498
