rep,th0,se0,hit0,th1,se1,hit1,hit_all
302,2.035374,0.051464,1,0.827183,0.032122,1,1
303,1.986443,0.040440,1,0.811695,0.025428,1,1
304,1.982260,0.049433,1,0.794364,0.030555,1,1
305,2.022254,0.059893,1,0.820357,0.037346,1,1
306,1.990005,0.037998,1,0.754640,0.022374,1,1
307,1.981793,0.046799,1,0.800373,0.029128,1,1
308,2.032491,0.042086,1,0.805036,0.025673,1,1
309,2.032185,0.033142,1,0.831859,0.020825,1,1
310,1.942248,0.047501,1,0.798861,0.030116,1,1
311,1.979368,0.045453,1,0.814722,0.028777,1,1
312,2.045894,0.038946,1,0.823750,0.024094,1,1
313,2.015175,0.038269,1,0.822471,0.024002,1,1
314,1.938444,0.038998,1,0.752980,0.023529,1,1
315,2.005304,0.046100,1,0.792585,0.028112,1,1
316,1.994724,0.044735,1,0.842545,0.028972,1,1
317,1.942148,0.042012,1,0.778150,0.026028,1,1
318,2.024544,0.052591,1,0.787683,0.031592,1,1
319,1.965058,0.049165,1,0.798603,0.030801,1,1
320,1.963156,0.042620,1,0.790794,0.026495,1,1
321,1.987111,0.046576,1,0.802335,0.028974,1,1
322,1.940677,0.042954,1,0.768920,0.026357,1,1
323,1.946464,0.040534,1,0.745073,0.024137,0,0
324,2.100567,0.050116,1,0.856354,0.031284,1,1
325,1.916282,0.043640,1,0.745332,0.026403,0,0
326,2.016441,0.043536,1,0.799747,0.026613,1,1
327,1.968712,0.042897,1,0.792850,0.026653,1,1
328,2.028160,0.057216,1,0.812958,0.035285,1,1
329,2.065201,0.036059,1,0.831836,0.022295,1,1
330,1.978895,0.053428,1,0.799095,0.033255,1,1
331,2.026509,0.049767,1,0.808093,0.030551,1,1
332,2.000254,0.048067,1,0.816907,0.030187,1,1
333,2.071247,0.050939,1,0.814203,0.030803,1,1
334,1.989575,0.051457,1,0.768148,0.030772,1,1
335,2.031919,0.052164,1,0.855943,0.033648,1,1
336,1.960626,0.035918,1,0.782122,0.022142,1,1
337,1.913068,0.046811,1,0.720957,0.027588,0,0
338,2.090815,0.046366,1,0.833782,0.028377,1,1
339,2.001103,0.053487,1,0.803814,0.033095,1,1
340,2.035892,0.052094,1,0.786438,0.031076,1,1
341,2.000283,0.052448,1,0.813956,0.032831,1,1
342,2.041534,0.049937,1,0.820681,0.030855,1,1
343,2.002613,0.053216,1,0.796171,0.032625,1,1
344,1.906729,0.046481,1,0.746887,0.028314,1,1
345,2.032439,0.048813,1,0.791646,0.029338,1,1
346,2.006521,0.053800,1,0.837848,0.034462,1,1
347,2.060785,0.047964,1,0.803887,0.028821,1,1
348,1.954643,0.032834,1,0.793764,0.020568,1,1
349,2.036549,0.045732,1,0.825102,0.028464,1,1
350,2.032240,0.044166,1,0.790672,0.026519,1,1
351,2.080601,0.054508,1,0.833836,0.033526,1,1
352,2.001274,0.040796,1,0.786717,0.024765,1,1
353,2.050864,0.058836,1,0.817815,0.036074,1,1
354,1.928248,0.045757,1,0.794786,0.029089,1,1
355,2.007508,0.044303,1,0.811673,0.027563,1,1
356,1.989740,0.057026,1,0.864749,0.037921,1,1
357,2.020229,0.052900,1,0.814971,0.032824,1,1
358,2.048352,0.044237,1,0.812668,0.027003,1,1
359,1.959816,0.038076,1,0.759356,0.022887,1,1
360,2.007839,0.045504,1,0.789905,0.027631,1,1
361,2.095510,0.044856,0,0.820918,0.027009,1,0
362,1.967900,0.040394,1,0.807848,0.025529,1,1
363,1.970444,0.043939,1,0.789274,0.027168,1,1
364,1.993829,0.047371,1,0.798371,0.029241,1,1
365,2.104980,0.033269,0,0.812195,0.019752,1,0
366,1.952760,0.042209,1,0.753396,0.025292,1,1
367,2.031186,0.044941,1,0.842134,0.028570,1,1
368,1.953647,0.043771,1,0.769589,0.026701,1,1
369,2.119362,0.052563,0,0.843058,0.032058,1,0
370,2.080303,0.041235,1,0.842436,0.025604,1,1
371,2.028309,0.052053,1,0.792214,0.031369,1,1
372,2.016383,0.056830,1,0.824082,0.035685,1,1
373,2.018688,0.037861,1,0.828541,0.023862,1,1
374,2.036858,0.043376,1,0.817232,0.026761,1,1
375,2.043720,0.051785,1,0.839563,0.032628,1,1
