rep,th0,se0,hit0,th1,se1,hit1,hit_all
174,2.068800,0.041481,1,0.792136,0.024506,1,1
175,1.930658,0.042994,1,0.759337,0.026233,1,1
176,1.940673,0.051474,1,0.755630,0.031114,1,1
177,2.119521,0.051990,0,0.829117,0.031228,1,0
178,1.978305,0.048878,1,0.817124,0.031044,1,1
179,2.025762,0.047337,1,0.794707,0.028642,1,1
180,1.912459,0.037348,0,0.785469,0.023691,1,0
181,2.038825,0.042710,1,0.812520,0.026188,1,1
182,2.035102,0.041201,1,0.825277,0.025667,1,1
183,1.954805,0.049714,1,0.811049,0.031742,1,1
184,2.009275,0.042478,1,0.829401,0.026923,1,1
185,1.948833,0.044932,1,0.788492,0.028065,1,1
186,1.991433,0.040534,1,0.789180,0.024796,1,1
187,2.019814,0.049520,1,0.802646,0.030317,1,1
188,1.991662,0.038679,1,0.820445,0.024491,1,1
