algo,mean0,mean1,cov00,cov01,cov11,acc,iat0,iat1,n_keep
rwm,1.010857,-0.519024,2.252810,0.022715,0.635331,0.4991,16.040,6.284,40000
rwm_corr,0.068574,0.067218,1.016195,0.965292,1.015666,0.5643,120.857,121.722,50000
