start_id,x0,f_end,hit_global
0,0.966260,0.197434,0
1,-1.360358,-0.202440,1
2,-0.885595,-0.202440,1
3,-0.623237,-0.202440,1
4,-1.847879,-0.202440,1
5,1.472912,0.197434,0
6,-1.126379,-0.202440,1
7,1.202528,0.197434,0
8,-0.640276,-0.202440,1
9,0.473928,0.197434,0
10,-1.180393,-0.202440,1
11,-0.028043,-0.202440,1
12,0.053584,0.197434,0
13,0.080053,0.197434,0
14,0.660638,0.197434,0
15,-1.186260,-0.202440,1
16,-1.585703,-0.202440,1
17,-0.018005,-0.202440,1
18,-1.626289,-0.202440,1
19,0.755785,0.197434,0
20,1.829301,0.197434,0
21,-1.707785,-0.202440,1
22,0.399265,0.197434,0
23,0.479276,0.197434,0
24,-1.703357,-0.202440,1
25,-0.889730,-0.202440,1
26,0.967917,0.197434,0
27,1.141998,0.197434,0
28,1.767709,0.197434,0
29,0.776710,0.197434,0
30,1.159633,0.197434,0
31,1.362066,0.197434,0
32,0.588379,0.197434,0
33,1.128625,0.197434,0
34,0.550117,0.197434,0
35,-0.479909,-0.202440,1
36,-1.747900,-0.202440,1
37,-0.935789,-0.202440,1
38,1.044820,0.197434,0
39,-1.632132,-0.202440,1
40,0.121017,0.197434,0
41,-1.363780,-0.202440,1
42,-0.907742,-0.202440,1
43,1.099132,0.197434,0
44,0.673179,0.197434,0
45,-0.714435,-0.202440,1
46,-1.662073,-0.202440,1
47,-1.429992,-0.202440,1
48,0.019485,-0.202440,1
49,1.877485,0.197434,0
50,-0.527333,-0.202440,1
51,-1.246010,-0.202440,1
52,-1.382710,-0.202440,1
53,-0.719393,-0.202440,1
54,-1.895689,-0.202440,1
55,1.290009,0.197434,0
56,0.734866,0.197434,0
57,0.223860,0.197434,0
58,1.500559,0.197434,0
59,-1.870959,-0.202440,1
60,-0.963409,-0.202440,1
61,1.859211,0.197434,0
62,0.438047,0.197434,0
63,-1.820447,-0.202440,1
64,-0.700175,-0.202440,1
65,0.492661,0.197434,0
66,1.946932,0.197434,0
67,-0.765858,-0.202440,1
68,1.566158,0.197434,0
69,1.697570,0.197434,0
70,1.587739,0.197434,0
71,0.691608,0.197434,0
72,-1.344473,-0.202440,1
73,1.340781,0.197434,0
74,1.191590,0.197434,0
75,1.267220,0.197434,0
76,-1.604101,-0.202440,1
77,1.241246,0.197434,0
78,-0.729402,-0.202440,1
79,-0.014354,-0.202440,1
80,-1.943453,-0.202440,1
81,0.921156,0.197434,0
82,-1.008773,-0.202440,1
83,-0.601394,-0.202440,1
84,0.968144,0.197434,0
85,-1.183468,-0.202440,1
86,1.214192,0.197434,0
87,0.904218,0.197434,0
88,1.400399,0.197434,0
89,0.866668,0.197434,0
90,1.028939,0.197434,0
91,-0.175243,-0.202440,1
92,-1.318777,-0.202440,1
93,0.021636,-0.202440,1
94,0.776873,0.197434,0
95,-1.793089,-0.202440,1
96,0.688289,0.197434,0
97,-1.150073,-0.202440,1
98,0.858141,0.197434,0
99,-1.093816,-0.202440,1
100,0.837228,0.197434,0
101,-1.353103,-0.202440,1
102,1.108048,0.197434,0
103,1.236837,0.197434,0
104,0.890023,0.197434,0
105,-1.886671,-0.202440,1
106,-1.171067,-0.202440,1
107,-0.327890,-0.202440,1
108,-0.974477,-0.202440,1
109,1.294509,0.197434,0
110,-1.479184,-0.202440,1
111,0.418815,0.197434,0
112,-0.884382,-0.202440,1
113,1.815040,0.197434,0
114,-1.181290,-0.202440,1
115,-0.464372,-0.202440,1
116,-0.991953,-0.202440,1
117,1.504182,0.197434,0
118,-0.008018,-0.202440,1
119,1.974290,0.197434,0
120,1.435850,0.197434,0
121,1.343857,0.197434,0
122,-0.567182,-0.202440,1
123,-1.805320,-0.202440,1
124,-1.218683,-0.202440,1
125,-1.573589,-0.202440,1
126,-1.797795,-0.202440,1
127,-0.439090,-0.202440,1
128,-1.828438,-0.202440,1
129,0.035286,-0.202440,1
130,1.056865,0.197434,0
131,-0.217730,-0.202440,1
132,1.884694,0.197434,0
133,-1.280729,-0.202440,1
134,1.785972,0.197434,0
135,0.340757,0.197434,0
136,1.891156,0.197434,0
137,0.543851,0.197434,0
138,-1.271316,-0.202440,1
139,-0.073422,-0.202440,1
140,0.537688,0.197434,0
141,1.465628,0.197434,0
142,1.744475,0.197434,0
143,1.088277,0.197434,0
144,-0.224255,-0.202440,1
145,-1.925384,-0.202440,1
146,-0.094749,-0.202440,1
147,0.829781,0.197434,0
148,0.729889,0.197434,0
149,1.055568,0.197434,0
150,0.398645,0.197434,0
151,0.488263,0.197434,0
152,-0.242477,-0.202440,1
153,1.278975,0.197434,0
154,1.470535,0.197434,0
155,0.722838,0.197434,0
156,1.845165,0.197434,0
157,0.389755,0.197434,0
158,-0.444679,-0.202440,1
159,0.428215,0.197434,0
160,-1.829617,-0.202440,1
161,-0.517224,-0.202440,1
162,1.745396,0.197434,0
163,1.255458,0.197434,0
164,0.396140,0.197434,0
165,0.060361,0.197434,0
166,0.532038,0.197434,0
167,-0.683026,-0.202440,1
168,-1.830121,-0.202440,1
169,-0.607299,-0.202440,1
170,-0.340086,-0.202440,1
171,-1.996856,-0.202440,1
172,0.432795,0.197434,0
173,-0.602855,-0.202440,1
174,-0.269451,-0.202440,1
175,-1.748555,-0.202440,1
176,1.717004,0.197434,0
177,-1.587358,-0.202440,1
178,1.786728,0.197434,0
179,-0.002648,-0.202440,1
180,0.583733,0.197434,0
181,-0.254677,-0.202440,1
182,-1.138053,-0.202440,1
183,1.888624,0.197434,0
184,-1.472752,-0.202440,1
185,1.595271,0.197434,0
186,-1.163482,-0.202440,1
187,0.052463,0.197434,0
188,1.164957,0.197434,0
189,-1.437715,-0.202440,1
190,-1.021226,-0.202440,1
191,0.006464,-0.202440,1
192,-0.021570,-0.202440,1
193,-1.295365,-0.202440,1
194,0.220149,0.197434,0
195,-0.820863,-0.202440,1
196,1.117998,0.197434,0
197,0.532471,0.197434,0
198,0.571311,0.197434,0
199,1.079295,0.197434,0
# global_hit_rate=0.495000
